frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1440,H = 900,taps = 3
6620,1217.3424,327.5204,292.0,-208.5,1220.0,311.0,60.275154,113236.0,,,
6621,1217.6848,327.04077,292.0,-208.5,1220.0,312.0,59.887714,113254.0,,,
6622,1218.0272,326.56116,292.0,-208.5,1220.0,312.0,59.92419,113271.0,,,
6623,1218.3696,326.08154,292.0,-208.5,1220.0,313.0,59.951763,113287.0,,,
6624,1218.712,325.60193,292.0,-208.5,1220.0,313.0,59.995518,113304.0,,,
6625,1219.0544,325.1223,292.0,-208.5,1220.0,314.0,60.040928,113320.0,,,
6626,1219.3969,324.6427,292.0,-208.5,1220.0,314.0,59.859753,113338.0,,,
6627,1219.7393,324.1631,292.0,-208.5,1220.0,314.0,59.90282,113354.0,,,
6628,1220.0817,323.68347,292.0,-208.5,1220.0,315.0,59.931404,113371.0,,,
6629,1220.4241,323.20386,292.0,-208.5,1219.0,315.0,60.100307,113387.0,,,
6630,1220.7665,322.72424,292.0,-208.5,1219.0,316.0,60.07387,113404.0,,,
6631,1221.1089,322.24463,292.0,-208.5,1219.0,316.0,60.03377,113420.0,,,
6632,1221.4513,321.765,292.0,-208.5,1219.0,317.0,60.046486,113437.0,,,
6633,1221.7937,321.2854,292.0,-208.5,1219.0,317.0,59.87017,113455.0,,,
6634,1222.1361,320.8058,292.0,-208.5,1219.0,318.0,60.108032,113470.0,,,
6635,1222.4785,320.32617,292.0,-208.5,1219.0,318.0,60.05676,113487.0,,,
6636,1222.8209,319.84656,292.0,-208.5,1219.0,319.0,60.042614,113504.0,,,
6637,1223.1633,319.36694,292.0,-208.5,1219.0,319.0,59.934902,113521.0,,,
6638,1223.5057,318.88733,292.0,-208.5,1219.0,320.0,60.082314,113537.0,,,
6639,1223.8481,318.4077,292.0,-208.5,1219.0,320.0,59.964756,113554.0,,,
6640,1224.1906,317.9281,292.0,-208.5,1219.0,321.0,60.1072,113570.0,,,
6641,1224.533,317.4485,292.0,-208.5,1219.0,321.0,59.85213,113588.0,,,
6642,1224.8754,316.96887,292.0,-208.5,1218.0,322.0,60.00019,113604.0,,,
6643,1225.2178,316.48926,292.0,-208.5,1218.0,322.0,59.92018,113621.0,,,
6644,1225.5602,316.00964,292.0,-208.5,1218.0,323.0,60.05296,113637.0,,,
6645,1225.9026,315.53003,292.0,-208.5,1218.0,323.0,59.966812,113654.0,,,
6646,1226.245,315.0504,292.0,-208.5,1218.0,324.0,59.894466,113671.0,,,
6647,1226.5874,314.5708,292.0,-208.5,1218.0,324.0,59.998253,113687.0,,,
6648,1226.9298,314.0912,292.0,-208.5,1218.0,325.0,60.058277,113704.0,,,
6649,1227.2722,313.61157,292.0,-208.5,1218.0,325.0,60.07792,113720.0,,,
6650,1227.6146,313.13196,292.0,-208.5,1218.0,326.0,59.900723,113738.0,,,
6651,1227.957,312.65234,292.0,-208.5,1218.0,326.0,59.937412,113754.0,,,
6652,1228.2994,312.17273,292.0,-208.5,1218.0,327.0,59.983444,113771.0,,,
6653,1228.6418,311.6931,292.0,-208.5,1217.0,327.0,60.034832,113787.0,,,
6654,1228.9843,311.2135,292.0,-208.5,1217.0,328.0,60.032833,113804.0,,,
6655,1229.3267,310.7339,292.0,-208.5,1217.0,328.0,59.99399,113821.0,,,
6656,1229.6691,310.25427,292.0,-208.5,1217.0,329.0,59.977314,113838.0,,,
6657,1230.0115,309.77466,292.0,-208.5,1217.0,329.0,59.901306,113855.0,,,
6658,1230.3539,309.29504,292.0,-208.5,1217.0,330.0,60.052353,113870.0,,,
6659,1230.6963,308.81543,292.0,-208.5,1217.0,330.0,59.972183,113888.0,,,
