frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1920,H = 1080,taps = 2
12874,1622.6364,437.25906,-275.0,386.0,1627.0,415.0,59.93172,216383.0,,,
12875,1622.2727,437.51813,-275.0,386.0,1627.0,416.0,60.064598,216399.0,,,
12876,1621.909,437.7772,-275.0,386.0,1627.0,416.0,60.00802,216416.0,,,
12877,1621.5454,438.03625,-275.0,386.0,1627.0,417.0,59.95158,216433.0,,,
12878,1621.1818,438.29532,-275.0,386.0,1627.0,418.0,59.804153,216452.0,,,
12879,1620.8181,438.55438,-275.0,386.0,1627.0,418.0,60.11859,216466.0,,,
12880,1620.4545,438.81345,-275.0,386.0,1626.0,419.0,59.882893,216484.0,,,
12881,1620.0908,439.0725,-275.0,386.0,1626.0,419.0,59.820896,216501.0,,,
12882,1619.7272,439.33157,-275.0,386.0,1626.0,420.0,60.221634,216515.0,,,
12883,1619.3635,439.59064,-275.0,386.0,1626.0,421.0,59.977833,216533.0,,,
12884,1618.9999,439.8497,-275.0,386.0,1626.0,421.0,59.817307,216551.0,,,
12885,1618.6362,440.10876,-275.0,386.0,1626.0,422.0,60.132504,216566.0,,,
12886,1618.2726,440.36783,-275.0,386.0,1626.0,423.0,59.706005,216585.0,,,
12887,1617.9089,440.6269,-275.0,386.0,1626.0,423.0,60.02901,216600.0,,,
12888,1617.5453,440.88596,-275.0,386.0,1626.0,424.0,59.975765,216617.0,,,
12889,1617.1816,441.14502,-275.0,386.0,1626.0,425.0,60.10928,216633.0,,,
12890,1616.818,441.40408,-275.0,386.0,1625.0,425.0,60.127907,216649.0,,,
12891,1616.4543,441.66315,-275.0,386.0,1625.0,426.0,60.063354,216666.0,,,
12892,1616.0907,441.9222,-275.0,386.0,1625.0,427.0,60.01179,216683.0,,,
12893,1615.727,442.18127,-275.0,386.0,1625.0,427.0,59.967056,216700.0,,,
12894,1615.3634,442.44034,-275.0,386.0,1625.0,428.0,59.809002,216718.0,,,
12895,1614.9998,442.6994,-275.0,386.0,1625.0,429.0,60.133625,216732.0,,,
12896,1614.6361,442.95847,-275.0,386.0,1625.0,429.0,59.881424,216751.0,,,
12897,1614.2725,443.21753,-275.0,386.0,1625.0,430.0,60.016388,216766.0,,,
12898,1613.9088,443.4766,-275.0,386.0,1625.0,430.0,59.961098,216783.0,,,
12899,1613.5452,443.73566,-275.0,386.0,1624.0,431.0,59.799847,216802.0,,,
12900,1613.1815,443.99472,-275.0,386.0,1624.0,432.0,59.811535,216818.0,,,
12901,1612.8179,444.25378,-275.0,386.0,1624.0,432.0,60.12745,216833.0,,,
12902,1612.4542,444.51285,-275.0,386.0,1624.0,433.0,59.779053,216851.0,,,
12903,1612.0906,444.7719,-275.0,386.0,1624.0,434.0,60.10777,216866.0,,,
12904,1611.7269,445.03098,-275.0,386.0,1624.0,434.0,60.22948,216882.0,,,
12905,1611.3633,445.29004,-275.0,386.0,1624.0,435.0,59.98125,216900.0,,,
12906,1610.9996,445.5491,-275.0,386.0,1624.0,436.0,60.017406,216917.0,,,
12907,1610.636,445.80817,-275.0,386.0,1623.0,436.0,59.96629,216933.0,,,
12908,1610.2723,446.06723,-275.0,386.0,1623.0,437.0,59.81042,216952.0,,,
12909,1609.9087,446.3263,-275.0,386.0,1623.0,438.0,60.027885,216966.0,,,
12910,1609.545,446.58536,-275.0,386.0,1623.0,438.0,59.982506,216983.0,,,
12911,1609.1814,446.84442,-275.0,386.0,1623.0,439.0,60.013416,217000.0,,,
12912,1608.8177,447.1035,-275.0,386.0,1623.0,440.0,59.846325,217018.0,,,
12913,1608.4541,447.36255,-275.0,386.0,1623.0,441.0,59.97913,217033.0,,,
12914,1608.0905,447.6216,-275.0,386.0,1623.0,441.0,60.18945,217049.0,,,
12915,1607.7268,447.88068,-275.0,386.0,1622.0,442.0,60.115726,217066.0,,,
12916,1607.3632,448.13974,-275.0,386.0,1622.0,443.0,60.06499,217083.0,,,
12917,1606.9995,448.3988,-275.0,386.0,1622.0,443.0,60.002323,217100.0,,,
12918,1606.6359,448.65787,-275.0,386.0,1622.0,444.0,60.114723,217116.0,,,
12919,1606.2722,448.91693,-275.0,386.0,1622.0,445.0,60.051254,217133.0,,,
12920,1605.9086,449.176,-275.0,386.0,1622.0,445.0,59.999775,217150.0,,,
12921,1605.5449,449.43506,-275.0,386.0,1622.0,446.0,60.123802,217167.0,,,
12922,1605.1813,449.69412,-275.0,386.0,1621.0,447.0,60.06823,217183.0,,,
12923,1604.8176,449.9532,-275.0,386.0,1621.0,447.0,60.190678,217199.0,,,
12924,1604.454,450.21225,-275.0,386.0,1621.0,448.0,60.023182,217216.0,,,
12925,1604.0903,450.4713,-275.0,386.0,1621.0,449.0,59.969284,217233.0,,,
12926,1603.7267,450.73038,-275.0,386.0,1621.0,449.0,60.017838,217250.0,,,
12927,1603.363,450.98944,-275.0,386.0,1621.0,450.0,59.963352,217267.0,,,
12928,1602.9994,451.2485,-275.0,386.0,1621.0,451.0,60.092342,217283.0,,,
12929,1602.6357,451.50757,-275.0,386.0,1621.0,451.0,60.1171,217299.0,,,
12930,1602.2721,451.76663,-275.0,386.0,1620.0,452.0,60.138954,217316.0,,,
12931,1601.9084,452.0257,-275.0,386.0,1620.0,453.0,59.901924,217334.0,,,
12932,1601.5448,452.28476,-275.0,386.0,1620.0,453.0,59.8273,217351.0,,,
12933,1601.1812,452.54382,-275.0,386.0,1620.0,454.0,59.963745,217367.0,,,
12934,1600.8175,452.8029,-275.0,386.0,1620.0,455.0,59.728695,217385.0,,,
12935,1600.4539,453.06195,-275.0,386.0,1620.0,455.0,60.0475,217400.0,,,
12936,1600.0902,453.321,-275.0,386.0,1620.0,456.0,59.989323,217417.0,,,
12937,1599.7266,453.58008,-275.0,386.0,1619.0,457.0,60.122234,217433.0,,,
12938,1599.3629,453.83914,-275.0,386.0,1619.0,457.0,59.92424,217450.0,,,
12939,1598.9993,454.0982,-275.0,386.0,1619.0,458.0,60.05663,217466.0,,,
12940,1598.6356,454.35727,-275.0,386.0,1619.0,459.0,59.997726,217483.0,,,
12941,1598.272,454.61633,-275.0,386.0,1619.0,459.0,60.12917,217499.0,,,
12942,1597.9083,454.8754,-275.0,386.0,1619.0,460.0,60.130627,217516.0,,,
12943,1597.5447,455.13446,-275.0,386.0,1618.0,461.0,59.98247,217533.0,,,
12944,1597.181,455.39352,-275.0,386.0,1618.0,461.0,59.931595,217550.0,,,
12945,1596.8174,455.6526,-275.0,386.0,1618.0,462.0,60.059788,217566.0,,,
12946,1596.4537,455.91165,-275.0,386.0,1618.0,463.0,60.012043,217583.0,,,
12947,1596.0901,456.17072,-275.0,386.0,1618.0,463.0,60.130226,217599.0,,,
12948,1595.7264,456.42978,-275.0,386.0,1618.0,464.0,59.898182,217617.0,,,
12949,1595.3628,456.68884,-275.0,386.0,1617.0,465.0,59.842945,217634.0,,,
12950,1594.9991,456.9479,-275.0,386.0,1617.0,465.0,60.110687,217649.0,,,
12951,1594.6355,457.20697,-275.0,386.0,1617.0,466.0,60.05233,217666.0,,,
12952,1594.2719,457.46603,-275.0,386.0,1617.0,467.0,59.99482,217683.0,,,
12953,1593.9082,457.7251,-275.0,386.0,1617.0,467.0,59.943665,217700.0,,,
12954,1593.5446,457.98416,-275.0,386.0,1616.0,468.0,60.073578,217716.0,,,
12955,1593.1809,458.24323,-275.0,386.0,1616.0,469.0,60.017757,217733.0,,,
12956,1592.8173,458.5023,-275.0,386.0,1616.0,469.0,59.763973,217751.0,,,
12957,1592.4536,458.76135,-275.0,386.0,1616.0,470.0,59.799603,217768.0,,,
12958,1592.09,459.02042,-275.0,386.0,1616.0,471.0,60.124832,217782.0,,,
12959,1591.7263,459.27948,-275.0,386.0,1616.0,471.0,59.88734,217800.0,,,
12960,1591.3627,459.53854,-275.0,386.0,1615.0,472.0,60.023888,217816.0,,,
12961,1590.999,459.7976,-275.0,386.0,1615.0,473.0,59.95566,217833.0,,,
12962,1590.6354,460.05667,-275.0,386.0,1615.0,473.0,59.910168,217850.0,,,
12963,1590.2717,460.31573,-275.0,386.0,1615.0,474.0,60.032154,217866.0,,,
12964,1589.9081,460.5748,-275.0,386.0,1615.0,475.0,59.98713,217883.0,,,
12965,1589.5444,460.83386,-275.0,386.0,1615.0,475.0,59.924374,217900.0,,,
12966,1589.1808,461.09293,-275.0,386.0,1615.0,476.0,60.067707,217916.0,,,
12967,1588.8171,461.352,-275.0,386.0,1614.0,477.0,60.011433,217933.0,,,
12968,1588.4535,461.61105,-275.0,386.0,1614.0,477.0,59.95169,217950.0,,,
12969,1588.0898,461.87012,-275.0,386.0,1614.0,478.0,59.80784,217968.0,,,
12970,1587.7262,462.12918,-275.0,386.0,1614.0,479.0,60.12222,217983.0,,,
12971,1587.3625,462.38824,-275.0,386.0,1614.0,479.0,59.974773,218000.0,,,
12972,1586.9989,462.6473,-275.0,386.0,1614.0,480.0,59.812733,218018.0,,,
12973,1586.6353,462.90637,-275.0,386.0,1613.0,481.0,60.14462,218033.0,,,
12974,1586.2716,463.16544,-275.0,386.0,1613.0,482.0,59.793156,218051.0,,,
12975,1585.908,463.4245,-275.0,386.0,1613.0,482.0,59.93466,218067.0,,,
12976,1585.5443,463.68356,-275.0,386.0,1613.0,483.0,60.067352,218083.0,,,
12977,1585.1807,463.94263,-275.0,386.0,1613.0,484.0,60.01468,218100.0,,,
12978,1584.817,464.2017,-275.0,386.0,1613.0,484.0,59.979347,218117.0,,,
12979,1584.4534,464.46075,-275.0,386.0,1613.0,485.0,60.107204,218133.0,,,
12980,1584.0897,464.71982,-275.0,386.0,1612.0,486.0,60.102264,218149.0,,,
12981,1583.7261,464.97888,-275.0,386.0,1612.0,486.0,60.03715,218166.0,,,
12982,1583.3624,465.23795,-275.0,386.0,1612.0,487.0,59.979744,218183.0,,,
12983,1582.9988,465.497,-275.0,386.0,1612.0,488.0,60.11398,218199.0,,,
12984,1582.6351,465.75607,-275.0,386.0,1612.0,489.0,60.02526,218217.0,,,
