frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1920,H = 1080,taps = 3
25499,1622.9036,436.49875,-1037.5,-199.5,1627.0,415.0,60.11946,426775.0,,,
25500,1622.8071,435.9975,-1037.5,-199.5,1627.0,416.0,59.85658,426793.0,,,
25501,1622.7107,435.49625,-1037.5,-199.5,1627.0,416.0,60.01464,426809.0,,,
25502,1622.6143,434.995,-1037.5,-199.5,1627.0,417.0,60.1346,426825.0,,,
25503,1622.5178,434.49374,-1037.5,-199.5,1627.0,418.0,59.899937,426843.0,,,
25504,1622.4214,433.9925,-1037.5,-199.5,1627.0,418.0,60.0369,426859.0,,,
25505,1622.325,433.49124,-1037.5,-199.5,1626.0,419.0,59.970474,426876.0,,,
25506,1622.2285,432.99,-1037.5,-199.5,1626.0,419.0,60.100906,426892.0,,,
25507,1622.1321,432.48874,-1037.5,-199.5,1626.0,420.0,60.04286,426909.0,,,
25508,1622.0356,431.9875,-1037.5,-199.5,1626.0,421.0,59.974003,426926.0,,,
25509,1621.9392,431.48624,-1037.5,-199.5,1626.0,421.0,59.91498,426943.0,,,
25510,1621.8428,430.985,-1037.5,-199.5,1626.0,422.0,60.03862,426959.0,,,
25511,1621.7463,430.48373,-1037.5,-199.5,1626.0,423.0,59.8,426977.0,,,
25512,1621.6499,429.98248,-1037.5,-199.5,1626.0,423.0,59.7543,426994.0,,,
25513,1621.5535,429.48123,-1037.5,-199.5,1626.0,424.0,60.073093,427009.0,,,
25514,1621.457,428.97998,-1037.5,-199.5,1626.0,425.0,60.008564,427026.0,,,
25515,1621.3606,428.47873,-1037.5,-199.5,1625.0,425.0,59.95474,427043.0,,,
25516,1621.2642,427.97748,-1037.5,-199.5,1625.0,426.0,59.893845,427060.0,,,
25517,1621.1677,427.47623,-1037.5,-199.5,1625.0,427.0,60.024403,427076.0,,,
25518,1621.0713,426.97498,-1037.5,-199.5,1625.0,427.0,59.970207,427093.0,,,
25519,1620.9749,426.47372,-1037.5,-199.5,1625.0,428.0,60.10107,427109.0,,,
25520,1620.8784,425.97247,-1037.5,-199.5,1625.0,429.0,59.85613,427127.0,,,
25521,1620.782,425.47122,-1037.5,-199.5,1625.0,429.0,59.994785,427143.0,,,
25522,1620.6855,424.96997,-1037.5,-199.5,1625.0,430.0,60.123,427159.0,,,
25523,1620.5891,424.46872,-1037.5,-199.5,1625.0,430.0,59.875988,427177.0,,,
25524,1620.4927,423.96747,-1037.5,-199.5,1624.0,431.0,60.01001,427193.0,,,
25525,1620.3962,423.46622,-1037.5,-199.5,1624.0,432.0,59.960785,427210.0,,,
25526,1620.2998,422.96497,-1037.5,-199.5,1624.0,432.0,59.88955,427227.0,,,
25527,1620.2034,422.4637,-1037.5,-199.5,1624.0,433.0,60.03329,427243.0,,,
25528,1620.1069,421.96246,-1037.5,-199.5,1624.0,434.0,60.157784,427259.0,,,
25529,1620.0105,421.4612,-1037.5,-199.5,1624.0,434.0,59.810097,427277.0,,,
25530,1619.9141,420.95996,-1037.5,-199.5,1624.0,435.0,60.127407,427292.0,,,
25531,1619.8176,420.4587,-1037.5,-199.5,1624.0,436.0,60.07531,427309.0,,,
25532,1619.7212,419.95746,-1037.5,-199.5,1623.0,436.0,60.01974,427326.0,,,
25533,1619.6248,419.4562,-1037.5,-199.5,1623.0,437.0,59.96016,427343.0,,,
25534,1619.5283,418.95496,-1037.5,-199.5,1623.0,438.0,60.09152,427359.0,,,
25535,1619.4319,418.4537,-1037.5,-199.5,1623.0,438.0,59.847683,427377.0,,,
25536,1619.3354,417.95245,-1037.5,-199.5,1623.0,439.0,59.982605,427393.0,,,
25537,1619.239,417.4512,-1037.5,-199.5,1623.0,440.0,59.929295,427410.0,,,
25538,1619.1426,416.94995,-1037.5,-199.5,1623.0,441.0,59.878826,427427.0,,,
25539,1619.0461,416.4487,-1037.5,-199.5,1623.0,441.0,60.01252,427443.0,,,
25540,1618.9497,415.94745,-1037.5,-199.5,1622.0,442.0,59.959675,427460.0,,,
25541,1618.8533,415.4462,-1037.5,-199.5,1622.0,443.0,60.166637,427475.0,,,
25542,1618.7568,414.94495,-1037.5,-199.5,1622.0,443.0,60.105232,427492.0,,,
25543,1618.6604,414.4437,-1037.5,-199.5,1622.0,444.0,60.041588,427509.0,,,
25544,1618.564,413.94244,-1037.5,-199.5,1622.0,445.0,60.16244,427525.0,,,
25545,1618.4675,413.4412,-1037.5,-199.5,1622.0,445.0,59.734116,427544.0,,,
25546,1618.3711,412.93994,-1037.5,-199.5,1622.0,446.0,60.06062,427559.0,,,
25547,1618.2747,412.4387,-1037.5,-199.5,1621.0,447.0,59.81885,427577.0,,,
25548,1618.1782,411.93744,-1037.5,-199.5,1621.0,447.0,59.95534,427593.0,,,
25549,1618.0818,411.4362,-1037.5,-199.5,1621.0,448.0,59.897842,427610.0,,,
25550,1617.9854,410.93494,-1037.5,-199.5,1621.0,449.0,59.844788,427627.0,,,
25551,1617.8889,410.4337,-1037.5,-199.5,1621.0,449.0,60.15677,427642.0,,,
25552,1617.7925,409.93243,-1037.5,-199.5,1621.0,450.0,60.09752,427659.0,,,
25553,1617.696,409.43118,-1037.5,-199.5,1621.0,451.0,60.039825,427676.0,,,
25554,1617.5996,408.92993,-1037.5,-199.5,1621.0,451.0,59.984726,427693.0,,,
25555,1617.5032,408.42868,-1037.5,-199.5,1620.0,452.0,60.11487,427709.0,,,
25556,1617.4067,407.92743,-1037.5,-199.5,1620.0,453.0,60.053284,427726.0,,,
25557,1617.3103,407.42618,-1037.5,-199.5,1620.0,453.0,59.99981,427743.0,,,
25558,1617.2139,406.92493,-1037.5,-199.5,1620.0,454.0,60.126583,427759.0,,,
25559,1617.1174,406.42368,-1037.5,-199.5,1620.0,455.0,60.06069,427776.0,,,
25560,1617.021,405.92242,-1037.5,-199.5,1620.0,455.0,60.00327,427794.0,,,
