frame,x,y,IOIx,IOIy,frameRate,time,W = 1920,H = 1080,taps = 3
1276,175.14621,7.7000813,207.5,10000.0,60.032654,23019.0,,,
1277,175.62814,7.7100816,207.5,10000.0,59.789726,23037.0,,,
1278,176.11008,7.720082,207.5,10000.0,60.002987,23052.0,,,
1279,176.59201,7.730082,207.5,10000.0,60.12777,23068.0,,,
1280,177.07394,7.7400823,207.5,10000.0,60.071304,23085.0,,,
1281,177.55588,7.7500825,207.5,10000.0,59.82742,23103.0,,,
1282,178.03781,7.7600827,207.5,10000.0,60.148125,23118.0,,,
1283,178.51974,7.770083,207.5,10000.0,59.908882,23136.0,,,
1284,179.00168,7.780083,207.5,10000.0,60.098503,23151.0,,,
1285,179.48361,7.7900834,207.5,10000.0,60.036472,23168.0,,,
1286,179.96555,7.8000836,207.5,10000.0,59.97804,23185.0,,,
1287,180.44748,7.810084,207.5,10000.0,59.93612,23202.0,,,
1288,180.92941,7.820084,207.5,10000.0,59.878468,23220.0,,,
1289,181.41135,7.8300843,207.5,10000.0,60.01045,23235.0,,,
1290,181.89328,7.8400846,207.5,10000.0,59.765213,23253.0,,,
1291,182.37521,7.850085,207.5,10000.0,60.08296,23268.0,,,
1292,182.85715,7.860085,207.5,10000.0,60.023014,23285.0,,,
1293,183.33908,7.8700852,207.5,10000.0,59.970654,23302.0,,,
1294,183.82101,7.8800855,207.5,10000.0,59.92037,23319.0,,,
1295,184.30295,7.8900857,207.5,10000.0,60.04641,23335.0,,,
1296,184.78488,7.900086,207.5,10000.0,59.997448,23352.0,,,
1297,185.26682,7.910086,207.5,10000.0,59.945976,23369.0,,,
1298,185.74875,7.9200864,207.5,10000.0,60.0692,23385.0,,,
1299,186.23068,7.9300866,207.5,10000.0,60.017925,23402.0,,,
1300,186.71262,7.940087,207.5,10000.0,59.961388,23419.0,,,
1301,187.19455,7.950087,207.5,10000.0,60.097473,23435.0,,,
1302,187.67648,7.9600873,207.5,10000.0,60.03854,23452.0,,,
1303,188.15842,7.9700875,207.5,10000.0,59.97437,23469.0,,,
1304,188.64035,7.9800878,207.5,10000.0,60.099712,23485.0,,,
1305,189.12228,7.990088,207.5,10000.0,60.04519,23502.0,,,
1306,189.60422,8.000088,207.5,10000.0,59.991215,23519.0,,,
1307,190.08615,8.010088,207.5,10000.0,60.205704,23534.0,,,
1308,190.56808,8.020088,207.5,10000.0,60.14491,23551.0,,,
1309,191.05002,8.030088,207.5,10000.0,60.08635,23568.0,,,
1310,191.53195,8.040089,207.5,10000.0,60.030552,23585.0,,,
1311,192.01389,8.050089,207.5,10000.0,59.982372,23602.0,,,
1312,192.49582,8.060089,207.5,10000.0,60.10563,23618.0,,,
1313,192.97775,8.070089,207.5,10000.0,60.042866,23635.0,,,
1314,193.45969,8.08009,207.5,10000.0,59.713615,23653.0,,,
1315,193.94162,8.09009,207.5,10000.0,60.026516,23668.0,,,
1316,194.42355,8.10009,207.5,10000.0,60.144463,23684.0,,,
1317,194.90549,8.11009,207.5,10000.0,60.092876,23701.0,,,
1318,195.38742,8.1200905,207.5,10000.0,60.03339,23718.0,,,
1319,195.86935,8.130091,207.5,10000.0,59.98618,23735.0,,,
1320,196.35129,8.140091,207.5,10000.0,59.939796,23752.0,,,
1321,196.83322,8.150091,207.5,10000.0,60.063446,23768.0,,,
1322,197.31516,8.160091,207.5,10000.0,59.829033,23786.0,,,
1323,197.79709,8.170092,207.5,10000.0,59.960274,23802.0,,,
1324,198.27902,8.180092,207.5,10000.0,60.09107,23818.0,,,
1325,198.76096,8.190092,207.5,10000.0,60.025604,23835.0,,,
1326,199.24289,8.200092,207.5,10000.0,60.067963,23851.0,,,
1327,199.72482,8.210093,207.5,10000.0,59.82089,23869.0,,,
1328,200.20676,8.220093,207.5,10000.0,60.13171,23884.0,,,
1329,200.68869,8.230093,207.5,10000.0,59.816616,23903.0,,,
1330,201.17062,8.240093,207.5,10000.0,59.75738,23920.0,,,
1331,201.65256,8.250093,207.5,10000.0,60.075546,23935.0,,,
1332,202.13449,8.260094,207.5,10000.0,60.10962,23951.0,,,
1333,202.61642,8.270094,207.5,10000.0,59.963493,23969.0,,,
1334,203.09836,8.280094,207.5,10000.0,59.912014,23986.0,,,
1335,203.58029,8.290094,207.5,10000.0,60.03489,24002.0,,,
1336,204.06223,8.300095,207.5,10000.0,59.984936,24018.0,,,
1337,204.54416,8.310095,207.5,10000.0,60.104862,24034.0,,,
1338,205.0261,8.320095,207.5,10000.0,60.048393,24051.0,,,
1339,205.50803,8.330095,207.5,10000.0,60.0023,24068.0,,,
1340,205.98996,8.3400955,207.5,10000.0,60.130802,24084.0,,,
1341,206.4719,8.350096,207.5,10000.0,59.891228,24102.0,,,
1342,206.95383,8.360096,207.5,10000.0,60.073467,24118.0,,,
1343,207.43576,8.370096,207.5,10000.0,60.025543,24135.0,,,
1344,207.9177,8.380096,207.5,10000.0,59.973305,24152.0,,,
1345,208.39963,8.390097,207.5,10000.0,59.73719,24170.0,,,
1346,208.88156,8.400097,207.5,10000.0,60.056286,24185.0,,,
1347,209.3635,8.410097,207.5,10000.0,59.995438,24202.0,,,
1348,209.84543,8.420097,207.5,10000.0,59.854137,24219.0,,,
1349,210.32736,8.430098,207.5,10000.0,59.793472,24236.0,,,
1350,210.8093,8.440098,207.5,10000.0,60.009342,24252.0,,,
1351,211.29123,8.450098,207.5,10000.0,59.956142,24269.0,,,
1352,211.77316,8.460098,207.5,10000.0,60.087578,24285.0,,,
1353,212.2551,8.4700985,207.5,10000.0,60.03478,24302.0,,,
1354,212.73703,8.480099,207.5,10000.0,60.148182,24318.0,,,
1355,213.21896,8.490099,207.5,10000.0,60.081165,24336.0,,,
1356,213.7009,8.500099,207.5,10000.0,59.747066,24353.0,,,
1357,214.18283,8.510099,207.5,10000.0,60.062218,24368.0,,,
1358,214.66476,8.5201,207.5,10000.0,60.18679,24384.0,,,
1359,215.1467,8.5301,207.5,10000.0,59.945858,24402.0,,,
1360,215.62863,8.5401,207.5,10000.0,60.069103,24418.0,,,
1361,216.11057,8.5501,207.5,10000.0,60.022087,24435.0,,,
1362,216.5925,8.560101,207.5,10000.0,60.024147,24452.0,,,
1363,217.07443,8.570101,207.5,10000.0,59.960526,24469.0,,,
1364,217.55637,8.580101,207.5,10000.0,60.090332,24485.0,,,
1365,218.0383,8.590101,207.5,10000.0,60.03258,24502.0,,,
1366,218.52023,8.600101,207.5,10000.0,59.981346,24519.0,,,
1367,219.00217,8.610102,207.5,10000.0,60.10306,24534.0,,,
1368,219.4841,8.620102,207.5,10000.0,59.869633,24552.0,,,
1369,219.96603,8.630102,207.5,10000.0,60.000668,24569.0,,,
1370,220.44797,8.640102,207.5,10000.0,60.12807,24584.0,,,
1371,220.9299,8.650103,207.5,10000.0,59.888958,24602.0,,,
1372,221.41183,8.660103,207.5,10000.0,60.090122,24618.0,,,
1373,221.89377,8.670103,207.5,10000.0,59.852707,24636.0,,,
1374,222.3757,8.680103,207.5,10000.0,60.062756,24651.0,,,
1375,222.85764,8.690104,207.5,10000.0,59.72121,24670.0,,,
1376,223.33957,8.700104,207.5,10000.0,60.03195,24685.0,,,
1377,223.8215,8.710104,207.5,10000.0,59.98719,24702.0,,,
1378,224.30344,8.720104,207.5,10000.0,59.940704,24719.0,,,
1379,224.78537,8.730104,207.5,10000.0,59.88712,24736.0,,,
1380,225.2673,8.740105,207.5,10000.0,60.020542,24752.0,,,
1381,225.74924,8.750105,207.5,10000.0,60.03978,24768.0,,,
1382,226.23117,8.760105,207.5,10000.0,59.987526,24785.0,,,
1383,226.7131,8.770105,207.5,10000.0,59.936405,24802.0,,,
1384,227.19504,8.780106,207.5,10000.0,60.067806,24818.0,,,
1385,227.67697,8.790106,207.5,10000.0,60.009186,24835.0,,,
1386,228.1589,8.800106,207.5,10000.0,59.959824,24852.0,,,
1387,228.64084,8.810106,207.5,10000.0,59.90701,24869.0,,,
1388,229.12277,8.8201065,207.5,10000.0,60.03999,24885.0,,,
1389,229.6047,8.830107,207.5,10000.0,59.98501,24902.0,,,
1390,230.08664,8.840107,207.5,10000.0,59.93488,24919.0,,,
1391,230.56857,8.850107,207.5,10000.0,60.06642,24935.0,,,
1392,231.0505,8.860107,207.5,10000.0,60.000797,24952.0,,,
1393,231.53244,8.870108,207.5,10000.0,59.955513,24969.0,,,
1394,232.01437,8.880108,207.5,10000.0,60.084736,24985.0,,,
1395,232.4963,8.890108,207.5,10000.0,60.027203,25002.0,,,
1396,232.97824,8.900108,207.5,10000.0,59.69895,25020.0,,,
1397,233.46017,8.910109,207.5,10000.0,60.01505,25035.0,,,
1398,233.94211,8.920109,207.5,10000.0,59.9645,25052.0,,,
1399,234.42404,8.930109,207.5,10000.0,60.093204,25068.0,,,
1400,234.90598,8.940109,207.5,10000.0,60.036007,25085.0,,,
1401,235.38791,8.9501095,207.5,10000.0,59.983856,25102.0,,,
1402,235.86984,8.96011,207.5,10000.0,59.930466,25119.0,,,
1403,236.35178,8.97011,207.5,10000.0,60.062263,25135.0,,,
1404,236.83371,8.98011,207.5,10000.0,59.816895,25153.0,,,
1405,237.31564,8.99011,207.5,10000.0,60.133682,25168.0,,,
1406,237.79758,9.000111,207.5,10000.0,60.064987,25185.0,,,
1407,238.27951,9.010111,207.5,10000.0,60.022957,25202.0,,,
1408,238.76144,9.020111,207.5,10000.0,60.037857,25218.0,,,
1409,239.24338,9.030111,207.5,10000.0,59.80005,25236.0,,,
1410,239.72531,9.040112,207.5,10000.0,60.11595,25251.0,,,
1411,240.20724,9.050112,207.5,10000.0,59.872787,25269.0,,,
1412,240.68918,9.060112,207.5,10000.0,59.823498,25286.0,,,
1413,241.17111,9.070112,207.5,10000.0,59.95178,25302.0,,,
1414,241.65305,9.080112,207.5,10000.0,60.145985,25318.0,,,
1415,242.13498,9.090113,207.5,10000.0,60.085022,25335.0,,,
1416,242.61691,9.100113,207.5,10000.0,60.03295,25352.0,,,
1417,243.09885,9.110113,207.5,10000.0,59.971283,25369.0,,,
1418,243.58078,9.120113,207.5,10000.0,60.099857,25385.0,,,
1419,244.06271,9.130114,207.5,10000.0,60.04192,25402.0,,,
1420,244.54465,9.140114,207.5,10000.0,59.983795,25419.0,,,
1421,245.02658,9.150114,207.5,10000.0,60.118317,25435.0,,,
1422,245.50851,9.160114,207.5,10000.0,59.75371,25453.0,,,
1423,245.99045,9.1701145,207.5,10000.0,60.068542,25468.0,,,
1424,246.47238,9.180115,207.5,10000.0,60.004448,25485.0,,,
1425,246.95432,9.190115,207.5,10000.0,59.95851,25502.0,,,
1426,247.43625,9.200115,207.5,10000.0,59.912243,25519.0,,,
1427,247.91818,9.210115,207.5,10000.0,60.036766,25535.0,,,
1428,248.40012,9.220116,207.5,10000.0,59.981663,25552.0,,,
1429,248.88205,9.230116,207.5,10000.0,60.111565,25568.0,,,
1430,249.36398,9.240116,207.5,10000.0,60.052296,25585.0,,,
1431,249.84592,9.250116,207.5,10000.0,59.81323,25603.0,,,
1432,250.32785,9.260117,207.5,10000.0,59.951088,25619.0,,,
1433,250.80978,9.270117,207.5,10000.0,60.078384,25635.0,,,
1434,251.29172,9.280117,207.5,10000.0,60.113728,25651.0,,,
1435,251.77365,9.290117,207.5,10000.0,59.86628,25669.0,,,
1436,252.25558,9.3001175,207.5,10000.0,60.179863,25684.0,,,
1437,252.73752,9.310118,207.5,10000.0,60.122906,25701.0,,,
1438,253.21945,9.320118,207.5,10000.0,60.059532,25718.0,,,
1439,253.70139,9.330118,207.5,10000.0,60.00588,25735.0,,,
1440,254.18332,9.340118,207.5,10000.0,59.768658,25753.0,,,
1441,254.66525,9.350119,207.5,10000.0,59.90819,25769.0,,,
1442,255.14719,9.360119,207.5,10000.0,59.852615,25786.0,,,
1443,255.62912,9.370119,207.5,10000.0,59.987957,25802.0,,,
1444,256.11105,9.380119,207.5,10000.0,60.10608,25818.0,,,
1445,256.593,9.39012,207.5,10000.0,60.057823,25835.0,,,
1446,257.07492,9.40012,207.5,10000.0,60.006866,25852.0,,,
1447,257.55685,9.41012,207.5,10000.0,60.124947,25868.0,,,
1448,258.0388,9.42012,207.5,10000.0,60.064606,25885.0,,,
1449,258.52072,9.43012,207.5,10000.0,60.189102,25901.0,,,
1450,259.00266,9.440121,207.5,10000.0,59.75642,25920.0,,,
1451,259.4846,9.450121,207.5,10000.0,59.900223,25936.0,,,
1452,259.96652,9.460121,207.5,10000.0,60.208984,25951.0,,,
1453,260.44846,9.470121,207.5,10000.0,59.96458,25969.0,,,
1454,260.9304,9.480122,207.5,10000.0,59.914627,25986.0,,,
1455,261.41232,9.490122,207.5,10000.0,60.128677,26001.0,,,
1456,261.89426,9.500122,207.5,10000.0,60.073845,26018.0,,,
1457,262.3762,9.510122,207.5,10000.0,60.010933,26035.0,,,
1458,262.85812,9.520123,207.5,10000.0,60.04043,26052.0,,,
1459,263.34006,9.530123,207.5,10000.0,60.11412,26068.0,,,
1460,263.822,9.540123,207.5,10000.0,60.06374,26085.0,,,
1461,264.30392,9.550123,207.5,10000.0,60.0538,26101.0,,,
1462,264.78586,9.560123,207.5,10000.0,59.99553,26118.0,,,
1463,265.2678,9.570124,207.5,10000.0,59.94757,26135.0,,,
1464,265.74973,9.580124,207.5,10000.0,59.873657,26152.0,,,
1465,266.23166,9.590124,207.5,10000.0,60.00723,26168.0,,,
1466,266.7136,9.600124,207.5,10000.0,59.95872,26185.0,,,
1467,267.19553,9.610125,207.5,10000.0,59.905155,26202.0,,,
1468,267.67746,9.620125,207.5,10000.0,60.03397,26218.0,,,
1469,268.1594,9.630125,207.5,10000.0,60.161705,26234.0,,,
1470,268.64133,9.640125,207.5,10000.0,60.00605,26252.0,,,
1471,269.12326,9.6501255,207.5,10000.0,59.67934,26271.0,,,
1472,269.6052,9.660126,207.5,10000.0,59.999947,26285.0,,,
1473,270.08713,9.670126,207.5,10000.0,59.94678,26302.0,,,
1474,270.56906,9.680126,207.5,10000.0,60.078247,26318.0,,,
1475,271.051,9.690126,207.5,10000.0,60.01948,26335.0,,,
1476,271.53293,9.700127,207.5,10000.0,60.032734,26352.0,,,
1477,272.01486,9.710127,207.5,10000.0,59.672318,26370.0,,,
1478,272.4968,9.720127,207.5,10000.0,59.989136,26385.0,,,
1479,272.97873,9.730127,207.5,10000.0,59.75516,26403.0,,,
1480,273.46066,9.740128,207.5,10000.0,59.71132,26420.0,,,
1481,273.9426,9.750128,207.5,10000.0,60.0328,26435.0,,,
1482,274.42453,9.760128,207.5,10000.0,59.877827,26453.0,,,
1483,274.90646,9.770128,207.5,10000.0,60.100166,26468.0,,,
