frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
57814,1515.1323,407.7167,756.0,-353.0,1518.0,387.0,60.040695,968791.0,,,,
57815,1515.2646,407.4334,756.0,-353.0,1518.0,388.0,59.97406,968808.0,,,,
57816,1515.397,407.15012,756.0,-353.0,1518.0,389.0,59.765408,968826.0,,,,
57817,1515.5293,406.86682,756.0,-353.0,1518.0,389.0,59.82499,968842.0,,,,
57818,1515.6616,406.58353,756.0,-353.0,1518.0,390.0,59.935932,968858.0,,,,
57819,1515.794,406.30023,756.0,-353.0,1518.0,390.0,60.040813,968875.0,,,,
57820,1515.9263,406.01694,756.0,-353.0,1518.0,391.0,59.82584,968892.0,,,,
57821,1516.0586,405.73364,756.0,-353.0,1518.0,391.0,60.017235,968908.0,,,,
57822,1516.1909,405.45035,756.0,-353.0,1518.0,392.0,59.970333,968925.0,,,,
57823,1516.3232,405.16705,756.0,-353.0,1518.0,393.0,59.91984,968942.0,,,,
57824,1516.4556,404.88376,756.0,-353.0,1518.0,393.0,59.70543,968960.0,,,,
57825,1516.5879,404.60046,756.0,-353.0,1518.0,394.0,59.8686,968976.0,,,,
57826,1516.7202,404.31717,756.0,-353.0,1517.0,394.0,59.77469,968994.0,,,,
57827,1516.8525,404.03387,756.0,-353.0,1517.0,395.0,59.982204,969009.0,,,,
57828,1516.9849,403.75058,756.0,-353.0,1517.0,396.0,59.925087,969026.0,,,,
57829,1517.1172,403.4673,756.0,-353.0,1517.0,396.0,60.244244,969040.0,,,,
57830,1517.2495,403.184,756.0,-353.0,1517.0,397.0,60.052547,969058.0,,,,
57831,1517.3818,402.9007,756.0,-353.0,1517.0,397.0,60.060394,969075.0,,,,
57832,1517.5142,402.6174,756.0,-353.0,1517.0,398.0,60.00826,969092.0,,,,
57833,1517.6465,402.3341,756.0,-353.0,1517.0,399.0,59.942368,969109.0,,,,
57834,1517.7788,402.0508,756.0,-353.0,1517.0,399.0,60.24851,969124.0,,,,
