frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = false
19999,1514.9127,407.74554,-1145.0,-393.0,1518.0,387.0,60.206112,339074.0,,,,
20000,1514.8254,407.4911,-1145.0,-393.0,1518.0,388.0,59.860825,339093.0,,,,
20001,1514.7382,407.23663,-1145.0,-393.0,1518.0,389.0,59.88209,339110.0,,,,
20002,1514.6509,406.98218,-1145.0,-393.0,1518.0,389.0,60.118492,339125.0,,,,
20003,1514.5636,406.72772,-1145.0,-393.0,1518.0,390.0,59.923676,339143.0,,,,
20004,1514.4763,406.47327,-1145.0,-393.0,1518.0,390.0,60.060024,339159.0,,,,
20005,1514.389,406.2188,-1145.0,-393.0,1518.0,391.0,60.388702,339173.0,,,,
20006,1514.3018,405.96436,-1145.0,-393.0,1518.0,391.0,60.38094,339190.0,,,,
20007,1514.2145,405.7099,-1145.0,-393.0,1518.0,392.0,59.847397,339210.0,,,,
20008,1514.1272,405.45544,-1145.0,-393.0,1518.0,393.0,60.174564,339224.0,,,,
20009,1514.0399,405.201,-1145.0,-393.0,1518.0,393.0,60.239853,339240.0,,,,
20010,1513.9526,404.94653,-1145.0,-393.0,1518.0,394.0,59.83628,339259.0,,,,
20011,1513.8654,404.69208,-1145.0,-393.0,1517.0,394.0,59.947773,339276.0,,,,
20012,1513.7781,404.43762,-1145.0,-393.0,1517.0,395.0,59.896538,339293.0,,,,
20013,1513.6908,404.18317,-1145.0,-393.0,1517.0,396.0,60.242916,339307.0,,,,
20014,1513.6035,403.9287,-1145.0,-393.0,1517.0,396.0,59.777782,339326.0,,,,
20015,1513.5162,403.67426,-1145.0,-393.0,1517.0,397.0,60.219532,339341.0,,,,
20016,1513.429,403.4198,-1145.0,-393.0,1517.0,397.0,60.369053,339356.0,,,,
20017,1513.3417,403.16534,-1145.0,-393.0,1517.0,398.0,59.918648,339376.0,,,,
20018,1513.2544,402.9109,-1145.0,-393.0,1517.0,399.0,59.985016,339392.0,,,,
20019,1513.1671,402.65643,-1145.0,-393.0,1517.0,399.0,59.99728,339409.0,,,,
20020,1513.0798,402.40198,-1145.0,-393.0,1517.0,400.0,60.298313,339423.0,,,,
20021,1512.9926,402.14752,-1145.0,-393.0,1516.0,401.0,59.856113,339442.0,,,,
20022,1512.9053,401.89307,-1145.0,-393.0,1516.0,401.0,59.987926,339458.0,,,,
20023,1512.818,401.6386,-1145.0,-393.0,1516.0,402.0,60.317047,339473.0,,,,
20024,1512.7307,401.38416,-1145.0,-393.0,1516.0,402.0,60.015827,339492.0,,,,
20025,1512.6434,401.1297,-1145.0,-393.0,1516.0,403.0,60.040363,339508.0,,,,
20026,1512.5562,400.87524,-1145.0,-393.0,1516.0,404.0,59.73723,339526.0,,,,
20027,1512.4689,400.6208,-1145.0,-393.0,1516.0,404.0,59.869644,339543.0,,,,
20028,1512.3816,400.36633,-1145.0,-393.0,1516.0,405.0,60.177135,339558.0,,,,
20029,1512.2943,400.11188,-1145.0,-393.0,1515.0,405.0,59.87605,339576.0,,,,
20030,1512.207,399.85742,-1145.0,-393.0,1515.0,406.0,59.90367,339593.0,,,,
20031,1512.1198,399.60297,-1145.0,-393.0,1515.0,407.0,60.12376,339608.0,,,,
20032,1512.0325,399.3485,-1145.0,-393.0,1515.0,407.0,60.14993,339625.0,,,,
20033,1511.9452,399.09406,-1145.0,-393.0,1515.0,408.0,59.852936,339643.0,,,,
20034,1511.8579,398.8396,-1145.0,-393.0,1515.0,409.0,59.86856,339660.0,,,,
20035,1511.7706,398.58514,-1145.0,-393.0,1515.0,409.0,60.042667,339675.0,,,,
20036,1511.6833,398.3307,-1145.0,-393.0,1515.0,410.0,59.867573,339693.0,,,,
20037,1511.5961,398.07623,-1145.0,-393.0,1515.0,410.0,59.979664,339708.0,,,,
20038,1511.5088,397.82178,-1145.0,-393.0,1514.0,411.0,60.232903,339724.0,,,,
20039,1511.4215,397.56732,-1145.0,-393.0,1514.0,412.0,60.250477,339741.0,,,,
20040,1511.3342,397.31287,-1145.0,-393.0,1514.0,412.0,59.936558,339759.0,,,,
20041,1511.247,397.0584,-1145.0,-393.0,1514.0,413.0,60.092133,339775.0,,,,
20042,1511.1597,396.80396,-1145.0,-393.0,1514.0,414.0,60.152645,339791.0,,,,
20043,1511.0724,396.5495,-1145.0,-393.0,1514.0,414.0,60.335598,339806.0,,,,
