frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1792,H = 1120,taps = 2,hiding = true
20695,277.28088,712.3677,356.0,272.0,274.0,733.0,60.082638,347989.0,,,,
20696,277.56177,712.73535,356.0,272.0,274.0,732.0,60.26764,348005.0,,,,
20697,277.84265,713.103,356.0,272.0,274.0,731.0,59.928375,348023.0,,,,
20698,278.12354,713.4707,356.0,272.0,274.0,731.0,59.690525,348041.0,,,,
20699,278.40442,713.8384,356.0,272.0,274.0,730.0,60.095093,348056.0,,,,
20700,278.6853,714.20605,356.0,272.0,274.0,730.0,60.045414,348073.0,,,,
20701,278.9662,714.5737,356.0,272.0,274.0,729.0,60.064587,348089.0,,,,
20702,279.24707,714.9414,356.0,272.0,274.0,729.0,60.08345,348106.0,,,,
20703,279.52795,715.3091,356.0,272.0,274.0,728.0,60.03725,348123.0,,,,
20704,279.80884,715.67676,356.0,272.0,274.0,727.0,60.061573,348139.0,,,,
20705,280.08972,716.04443,356.0,272.0,274.0,727.0,60.109245,348156.0,,,,
20706,280.3706,716.4121,356.0,272.0,274.0,726.0,60.02652,348173.0,,,,
20707,280.6515,716.7798,356.0,272.0,275.0,726.0,60.05111,348190.0,,,,
20708,280.93237,717.14746,356.0,272.0,275.0,725.0,60.06908,348206.0,,,,
20709,281.21326,717.51514,356.0,272.0,275.0,724.0,59.83707,348224.0,,,,
20710,281.49414,717.8828,356.0,272.0,275.0,724.0,59.928185,348240.0,,,,
20711,281.77502,718.2505,356.0,272.0,275.0,723.0,60.103844,348256.0,,,,
20712,282.0559,718.61816,356.0,272.0,275.0,723.0,59.781498,348274.0,,,,
20713,282.3368,718.98584,356.0,272.0,275.0,722.0,60.062943,348289.0,,,,
20714,282.61768,719.3535,356.0,272.0,275.0,721.0,59.69299,348309.0,,,,
20715,282.89856,719.7212,356.0,272.0,275.0,721.0,60.049816,348323.0,,,,
20716,283.17944,720.08887,356.0,272.0,275.0,720.0,59.68446,348342.0,,,,
20717,283.46033,720.45654,356.0,272.0,276.0,719.0,60.307663,348355.0,,,,
20718,283.7412,720.8242,356.0,272.0,276.0,719.0,60.19731,348372.0,,,,
20719,284.0221,721.1919,356.0,272.0,276.0,718.0,60.063324,348389.0,,,,
20720,284.30298,721.5596,356.0,272.0,276.0,718.0,60.12989,348406.0,,,,
20721,284.58386,721.92725,356.0,272.0,276.0,717.0,59.845623,348424.0,,,,
20722,284.86475,722.2949,356.0,272.0,276.0,716.0,59.963593,348440.0,,,,
20723,285.14563,722.6626,356.0,272.0,276.0,716.0,59.877228,348457.0,,,,
20724,285.4265,723.0303,356.0,272.0,276.0,715.0,60.217884,348472.0,,,,
20725,285.7074,723.39795,356.0,272.0,277.0,715.0,60.156662,348489.0,,,,
20726,285.98828,723.7656,356.0,272.0,277.0,714.0,59.85174,348507.0,,,,
20727,286.26917,724.1333,356.0,272.0,277.0,713.0,60.0329,348523.0,,,,
20728,286.55005,724.501,356.0,272.0,277.0,713.0,59.82616,348541.0,,,,
20729,286.83093,724.86865,356.0,272.0,277.0,712.0,59.910954,348557.0,,,,
20730,287.11182,725.2363,356.0,272.0,277.0,711.0,59.8471,348574.0,,,,
20731,287.3927,725.604,356.0,272.0,277.0,711.0,60.243843,348589.0,,,,
20732,287.67358,725.9717,356.0,272.0,277.0,710.0,60.095837,348606.0,,,,
20733,287.95447,726.33936,356.0,272.0,277.0,710.0,59.949276,348624.0,,,,
20734,288.23535,726.70703,356.0,272.0,278.0,709.0,60.17602,348639.0,,,,
20735,288.51624,727.0747,356.0,272.0,278.0,708.0,60.085907,348656.0,,,,
20736,288.79712,727.4424,356.0,272.0,278.0,708.0,60.02407,348673.0,,,,
20737,289.078,727.81006,356.0,272.0,278.0,707.0,60.04495,348690.0,,,,
20738,289.3589,728.17773,356.0,272.0,278.0,706.0,60.066025,348707.0,,,,
20739,289.63977,728.5454,356.0,272.0,278.0,706.0,60.188732,348723.0,,,,
20740,289.92065,728.9131,356.0,272.0,278.0,705.0,60.031235,348740.0,,,,
20741,290.20154,729.28076,356.0,272.0,278.0,704.0,59.722992,348758.0,,,,
20742,290.48242,729.64844,356.0,272.0,279.0,704.0,60.020187,348773.0,,,,
20743,290.7633,730.0161,356.0,272.0,279.0,703.0,59.778667,348791.0,,,,
20744,291.0442,730.3838,356.0,272.0,279.0,703.0,60.07644,348807.0,,,,
20745,291.32507,730.75146,356.0,272.0,279.0,702.0,60.1998,348823.0,,,,
20746,291.60596,731.11914,356.0,272.0,279.0,701.0,60.13988,348839.0,,,,
20747,291.88684,731.4868,356.0,272.0,279.0,701.0,60.129627,348856.0,,,,
20748,292.16772,731.8545,356.0,272.0,279.0,700.0,60.175987,348872.0,,,,
20749,292.4486,732.22217,356.0,272.0,279.0,699.0,60.117104,348889.0,,,,
20750,292.7295,732.58984,356.0,272.0,280.0,699.0,60.05314,348906.0,,,,
20751,293.01038,732.9575,356.0,272.0,280.0,698.0,59.80298,348924.0,,,,
20752,293.29126,733.3252,356.0,272.0,280.0,698.0,60.111065,348939.0,,,,
20753,293.57214,733.6929,356.0,272.0,280.0,697.0,59.79819,348958.0,,,,
20754,293.85303,734.06055,356.0,272.0,280.0,696.0,59.798847,348975.0,,,,
20755,294.1339,734.4282,356.0,272.0,280.0,696.0,59.952736,348990.0,,,,
20756,294.4148,734.7959,356.0,272.0,280.0,695.0,59.985806,349007.0,,,,
20757,294.69568,735.1636,356.0,272.0,280.0,694.0,60.145325,349022.0,,,,
20758,294.97656,735.53125,356.0,272.0,281.0,694.0,60.028786,349040.0,,,,
20759,295.25745,735.8989,356.0,272.0,281.0,693.0,60.241108,349055.0,,,,
20760,295.53833,736.2666,356.0,272.0,281.0,693.0,59.78301,349074.0,,,,
20761,295.8192,736.6343,356.0,272.0,281.0,692.0,60.121143,349090.0,,,,
20762,296.1001,737.00195,356.0,272.0,281.0,691.0,59.711422,349109.0,,,,
20763,296.38098,737.3696,356.0,272.0,281.0,691.0,60.014053,349123.0,,,,
20764,296.66187,737.7373,356.0,272.0,281.0,690.0,60.230152,349139.0,,,,
20765,296.94275,738.105,356.0,272.0,282.0,689.0,60.24301,349155.0,,,,
20766,297.22363,738.47266,356.0,272.0,282.0,689.0,60.225445,349172.0,,,,
20767,297.50452,738.84033,356.0,272.0,282.0,688.0,59.896095,349191.0,,,,
20768,297.7854,739.208,356.0,272.0,282.0,688.0,59.802204,349208.0,,,,
20769,298.06628,739.5757,356.0,272.0,282.0,687.0,59.993065,349223.0,,,,
20770,298.34717,739.94336,356.0,272.0,282.0,686.0,60.01518,349240.0,,,,
20771,298.62805,740.31104,356.0,272.0,283.0,686.0,59.689655,349258.0,,,,
20772,298.90894,740.6787,356.0,272.0,283.0,685.0,59.875954,349274.0,,,,
20773,299.18982,741.0464,356.0,272.0,283.0,684.0,60.059635,349290.0,,,,
20774,299.4707,741.41406,356.0,272.0,283.0,684.0,60.067368,349306.0,,,,
20775,299.7516,741.78174,356.0,272.0,283.0,683.0,59.83783,349325.0,,,,
20776,300.03247,742.1494,356.0,272.0,283.0,683.0,59.953484,349340.0,,,,
20777,300.31335,742.5171,356.0,272.0,284.0,682.0,59.75336,349359.0,,,,
20778,300.59424,742.88477,356.0,272.0,284.0,681.0,60.031147,349373.0,,,,
20779,300.87512,743.25244,356.0,272.0,284.0,681.0,60.060757,349390.0,,,,
20780,301.156,743.6201,356.0,272.0,284.0,680.0,60.06939,349406.0,,,,
20781,301.4369,743.9878,356.0,272.0,284.0,680.0,59.706135,349426.0,,,,
20782,301.71777,744.35547,356.0,272.0,284.0,679.0,60.059353,349440.0,,,,
20783,301.99866,744.72314,356.0,272.0,285.0,678.0,60.07785,349457.0,,,,
20784,302.27954,745.0908,356.0,272.0,285.0,678.0,60.204956,349473.0,,,,
20785,302.56042,745.4585,356.0,272.0,285.0,677.0,60.045216,349490.0,,,,
20786,302.8413,745.8262,356.0,272.0,285.0,676.0,60.088066,349506.0,,,,
20787,303.1222,746.19385,356.0,272.0,285.0,676.0,60.19235,349522.0,,,,
20788,303.40308,746.5615,356.0,272.0,285.0,675.0,60.029285,349540.0,,,,
20789,303.68396,746.9292,356.0,272.0,285.0,674.0,60.051067,349557.0,,,,
20790,303.96484,747.2969,356.0,272.0,286.0,674.0,60.1768,349572.0,,,,
20791,304.24573,747.66455,356.0,272.0,286.0,673.0,60.012753,349590.0,,,,
20792,304.5266,748.0322,356.0,272.0,286.0,673.0,60.038754,349607.0,,,,
20793,304.8075,748.3999,356.0,272.0,286.0,672.0,59.98763,349623.0,,,,
20794,305.08838,748.7676,356.0,272.0,286.0,671.0,60.1039,349640.0,,,,
20795,305.36926,749.13525,356.0,272.0,286.0,671.0,60.032303,349657.0,,,,
20796,305.65015,749.5029,356.0,272.0,286.0,670.0,60.127956,349673.0,,,,
20797,305.93103,749.8706,356.0,272.0,287.0,669.0,59.75177,349691.0,,,,
20798,306.2119,750.2383,356.0,272.0,287.0,669.0,60.066162,349706.0,,,,
20799,306.4928,750.60596,356.0,272.0,287.0,668.0,59.679653,349725.0,,,,
20800,306.77368,750.97363,356.0,272.0,287.0,667.0,60.01915,349740.0,,,,
20801,307.05457,751.3413,356.0,272.0,287.0,667.0,60.230522,349756.0,,,,
20802,307.33545,751.709,356.0,272.0,287.0,666.0,59.982273,349774.0,,,,
20803,307.61633,752.07666,356.0,272.0,287.0,665.0,60.015236,349790.0,,,,
20804,307.89722,752.44434,356.0,272.0,287.0,665.0,59.739956,349808.0,,,,
20805,308.1781,752.812,356.0,272.0,288.0,664.0,59.98903,349823.0,,,,
20806,308.45898,753.1797,356.0,272.0,288.0,663.0,60.028038,349840.0,,,,
20807,308.73987,753.54736,356.0,272.0,288.0,663.0,60.058548,349856.0,,,,
20808,309.02075,753.91504,356.0,272.0,288.0,662.0,59.99737,349873.0,,,,
20809,309.30164,754.2827,356.0,272.0,288.0,661.0,60.0235,349890.0,,,,
20810,309.58252,754.6504,356.0,272.0,288.0,661.0,60.24117,349905.0,,,,
20811,309.8634,755.01807,356.0,272.0,288.0,660.0,59.984844,349923.0,,,,
20812,310.1443,755.38574,356.0,272.0,288.0,659.0,60.017708,349940.0,,,,
20813,310.42517,755.7534,356.0,272.0,289.0,659.0,60.22491,349956.0,,,,
20814,310.70605,756.1211,356.0,272.0,289.0,658.0,59.791477,349974.0,,,,
20815,310.98694,756.4888,356.0,272.0,289.0,658.0,60.009827,349990.0,,,,
20816,311.26782,756.85645,356.0,272.0,289.0,657.0,60.205414,350005.0,,,,
20817,311.5487,757.2241,356.0,272.0,289.0,656.0,59.738132,350026.0,,,,
20818,311.8296,757.5918,356.0,272.0,289.0,656.0,59.907417,350041.0,,,,
20819,312.11047,757.9595,356.0,272.0,289.0,655.0,60.177925,350056.0,,,,
20820,312.39136,758.32715,356.0,272.0,289.0,654.0,59.982395,350073.0,,,,
20821,312.67224,758.6948,356.0,272.0,290.0,654.0,59.730103,350091.0,,,,
20822,312.95312,759.0625,356.0,272.0,290.0,653.0,60.04493,350107.0,,,,
20823,313.234,759.4302,356.0,272.0,290.0,652.0,60.164753,350122.0,,,,
20824,313.5149,759.79785,356.0,272.0,290.0,652.0,60.001312,350140.0,,,,
20825,313.79578,760.1655,356.0,272.0,290.0,651.0,60.226974,350156.0,,,,
20826,314.07666,760.5332,356.0,272.0,290.0,650.0,60.215584,350172.0,,,,
20827,314.35754,760.9009,356.0,272.0,290.0,650.0,59.744026,350191.0,,,,
20828,314.63843,761.26855,356.0,272.0,290.0,649.0,60.001755,350206.0,,,,
20829,314.9193,761.6362,356.0,272.0,291.0,648.0,59.791492,350225.0,,,,
20830,315.2002,762.0039,356.0,272.0,291.0,648.0,60.132523,350239.0,,,,
20831,315.48108,762.3716,356.0,272.0,291.0,647.0,59.722633,350258.0,,,,
20832,315.76196,762.73926,356.0,272.0,291.0,646.0,60.172348,350272.0,,,,
20833,316.04285,763.10693,356.0,272.0,291.0,646.0,59.916187,350290.0,,,,
20834,316.32373,763.4746,356.0,272.0,291.0,645.0,59.711956,350309.0,,,,
20835,316.6046,763.8423,356.0,272.0,291.0,644.0,60.120205,350322.0,,,,
20836,316.8855,764.20996,356.0,272.0,291.0,644.0,59.91191,350340.0,,,,
20837,317.16638,764.57764,356.0,272.0,291.0,643.0,59.86188,350357.0,,,,
20838,317.44727,764.9453,356.0,272.0,292.0,643.0,59.757732,350375.0,,,,
20839,317.72815,765.313,356.0,272.0,292.0,642.0,59.745766,350392.0,,,,
20840,318.00903,765.68066,356.0,272.0,292.0,641.0,60.2761,350405.0,,,,
20841,318.28992,766.04834,356.0,272.0,292.0,641.0,59.99024,350423.0,,,,
20842,318.5708,766.416,356.0,272.0,292.0,640.0,60.045086,350440.0,,,,
20843,318.85168,766.7837,356.0,272.0,292.0,639.0,59.831207,350458.0,,,,
20844,319.13257,767.15137,356.0,272.0,292.0,639.0,59.85944,350474.0,,,,
20845,319.41345,767.51904,356.0,-126.0,292.0,638.0,60.178608,350489.0,,,,
20846,319.69434,766.7254,356.0,-126.0,292.0,637.0,59.748123,350508.0,,,,
