frame,x,y,IOIx,IOIy,frameRate,time,W = 1920,H = 1080,taps = 2
56344,305.6039,493.66736,191.5,161.5,60.073734,940937.0,,,
56345,306.1261,494.28656,191.5,161.5,59.834507,940955.0,,,
56346,306.6483,494.90576,191.5,161.5,59.960537,940971.0,,,
56347,307.17047,495.52496,191.5,161.5,60.098396,940987.0,,,
56348,307.69266,496.14417,191.5,161.5,60.034405,941004.0,,,
56349,308.21484,496.76337,191.5,161.5,59.975197,941021.0,,,
56350,308.73703,497.38257,191.5,161.5,59.930134,941038.0,,,
56351,309.25922,498.00177,191.5,161.5,59.884644,941055.0,,,
56352,309.7814,498.62097,191.5,161.5,60.016487,941071.0,,,
56353,310.3036,499.24017,191.5,161.5,60.11256,941087.0,,,
56354,310.82578,499.85938,191.5,161.5,59.691692,941107.0,,,
56355,311.34796,500.47858,191.5,161.5,60.013123,941121.0,,,
56356,311.87015,501.09778,191.5,161.5,59.77915,941139.0,,,
56357,312.39233,501.71698,191.5,161.5,59.901604,941155.0,,,
56358,312.91452,502.33618,191.5,161.5,60.217308,941170.0,,,
56359,313.4367,502.95538,191.5,161.5,60.096603,941187.0,,,
56360,313.9589,503.5746,191.5,161.5,60.02559,941204.0,,,
56361,314.48108,504.1938,191.5,161.5,59.973274,941221.0,,,
56362,315.00327,504.813,191.5,161.5,59.91429,941238.0,,,
56363,315.52545,505.4322,191.5,161.5,60.045982,941254.0,,,
56364,316.04764,506.0514,191.5,161.5,60.173855,941271.0,,,
56365,316.56982,506.6706,191.5,161.5,59.901913,941288.0,,,
56366,317.092,507.2898,191.5,161.5,59.847218,941305.0,,,
56367,317.6142,507.909,191.5,161.5,59.837105,941322.0,,,
56368,318.13638,508.5282,191.5,161.5,60.15037,941337.0,,,
56369,318.65857,509.1474,191.5,161.5,59.906567,941355.0,,,
56370,319.18076,509.7666,191.5,161.5,60.02036,941371.0,,,
56371,319.70294,510.3858,191.5,161.5,60.129044,941388.0,,,
56372,320.22513,511.005,191.5,161.5,60.06954,941404.0,,,
56373,320.7473,511.6242,191.5,161.5,60.015457,941421.0,,,
56374,321.2695,512.2434,191.5,161.5,60.035126,941437.0,,,
56375,321.7917,512.8626,191.5,161.5,60.06679,941454.0,,,
56376,322.31387,513.4818,191.5,161.5,60.002552,941471.0,,,
56377,322.83606,514.101,191.5,161.5,59.773132,941489.0,,,
56378,323.35825,514.7202,191.5,161.5,60.08078,941504.0,,,
56379,323.88043,515.3394,191.5,161.5,59.751987,941522.0,,,
56380,324.40262,515.9586,191.5,161.5,60.154453,941537.0,,,
56381,324.9248,516.5778,191.5,161.5,59.90275,941555.0,,,
56382,325.447,517.197,191.5,161.5,60.03259,941572.0,,,
56383,325.96918,517.8162,191.5,161.5,60.068005,941587.0,,,
56384,326.49136,518.4354,191.5,161.5,60.00165,941605.0,,,
56385,327.01355,519.0546,191.5,161.5,60.01393,941621.0,,,
56386,327.53574,519.6738,191.5,161.5,59.963047,941638.0,,,
56387,328.05792,520.293,191.5,161.5,60.17638,941653.0,,,
56388,328.5801,520.91223,191.5,161.5,59.916817,941671.0,,,
56389,329.1023,521.53143,191.5,161.5,60.114452,941687.0,,,
56390,329.62448,522.15063,191.5,161.5,59.87078,941705.0,,,
56391,330.14667,522.76984,191.5,161.5,59.995934,941721.0,,,
56392,330.66885,523.38904,191.5,161.5,60.124386,941738.0,,,
56393,331.19104,524.00824,191.5,161.5,59.878098,941755.0,,,
56394,331.71323,524.62744,191.5,161.5,59.824615,941772.0,,,
56395,332.2354,525.24664,191.5,161.5,60.10482,941787.0,,,
56396,332.7576,525.86584,191.5,161.5,60.041073,941804.0,,,
56397,333.2798,526.48505,191.5,161.5,59.985027,941822.0,,,
56398,333.80197,527.10425,191.5,161.5,60.029522,941837.0,,,
56399,334.32416,527.72345,191.5,161.5,60.048893,941855.0,,,
