frame,x,y,IOIx,IOIy,xGhost,yGhost,frameRate,time,W = 1920,H = 1080,taps = 3
19364,1623.9434,437.14294,106.0,699.5,1627.0,415.0,60.078968,324863.0,,,
19365,1624.8867,437.2859,106.0,699.5,1627.0,416.0,60.16222,324880.0,,,
19366,1625.8301,437.42883,106.0,699.5,1627.0,416.0,60.07599,324897.0,,,
19367,1626.7734,437.57178,106.0,699.5,1627.0,417.0,60.17549,324913.0,,,
19368,1627.7168,437.71472,106.0,699.5,1627.0,418.0,60.20918,324929.0,,,
19369,1628.6602,437.85767,106.0,699.5,1627.0,418.0,59.97764,324947.0,,,
19370,1629.6035,438.0006,106.0,699.5,1626.0,419.0,59.647198,324966.0,,,
19371,1630.5469,438.14355,106.0,699.5,1626.0,419.0,60.145294,324980.0,,,
19372,1631.4902,438.2865,106.0,699.5,1626.0,420.0,60.07415,324997.0,,,
19373,1632.4336,438.42944,106.0,699.5,1626.0,421.0,59.665817,325016.0,,,
19374,1633.377,438.5724,106.0,699.5,1626.0,421.0,60.213417,325029.0,,,
19375,1634.3203,438.71533,106.0,699.5,1626.0,422.0,59.98966,325047.0,,,
19376,1635.2637,438.85828,106.0,699.5,1626.0,423.0,59.673428,325067.0,,,
19377,1636.207,439.00122,106.0,699.5,1626.0,423.0,60.16551,325080.0,,,
19378,1637.1504,439.14417,106.0,699.5,1626.0,424.0,60.082584,325097.0,,,
19379,1638.0938,439.2871,106.0,699.5,1626.0,425.0,60.060978,325113.0,,,
19380,1639.0371,439.43005,106.0,699.5,1625.0,425.0,59.090763,325136.0,,,
19381,1639.9805,439.573,106.0,699.5,1625.0,426.0,60.04,325147.0,,,
19382,1640.9238,439.71594,106.0,699.5,1625.0,427.0,59.752293,325165.0,,,
19383,1641.8672,439.8589,106.0,699.5,1625.0,427.0,60.22454,325179.0,,,
19384,1642.8105,440.00183,106.0,699.5,1625.0,428.0,60.19163,325197.0,,,
19385,1643.7539,440.14478,106.0,699.5,1625.0,429.0,60.095413,325213.0,,,
19386,1644.6973,440.28772,106.0,699.5,1625.0,429.0,59.98311,325231.0,,,
19387,1645.6406,440.43066,106.0,699.5,1625.0,430.0,59.977795,325247.0,,,
19388,1646.584,440.5736,106.0,699.5,1625.0,430.0,59.72021,325266.0,,,
19389,1647.5273,440.71655,106.0,699.5,1624.0,431.0,60.144035,325280.0,,,
19390,1648.4707,440.8595,106.0,699.5,1624.0,432.0,60.115047,325297.0,,,
19391,1649.4141,441.00244,106.0,699.5,1624.0,432.0,60.109062,325313.0,,,
19392,1650.3574,441.1454,106.0,699.5,1624.0,433.0,60.334553,325329.0,,,
19393,1651.3008,441.28833,106.0,699.5,1624.0,434.0,60.108948,325347.0,,,
19394,1652.2441,441.43127,106.0,699.5,1624.0,434.0,59.68535,325366.0,,,
19395,1653.1875,441.57422,106.0,699.5,1624.0,435.0,60.33261,325379.0,,,
19396,1654.1309,441.71716,106.0,699.5,1624.0,436.0,60.182358,325397.0,,,
19397,1655.0742,441.8601,106.0,699.5,1623.0,436.0,60.249866,325412.0,,,
19398,1656.0176,442.00305,106.0,699.5,1623.0,437.0,60.017796,325430.0,,,
19399,1656.9609,442.146,106.0,699.5,1623.0,438.0,60.219837,325447.0,,,
19400,1657.9043,442.28894,106.0,699.5,1623.0,438.0,60.18309,325463.0,,,
19401,1658.8477,442.4319,106.0,699.5,1623.0,439.0,60.226162,325479.0,,,
19402,1659.791,442.57483,106.0,699.5,1623.0,440.0,60.11857,325497.0,,,
19403,1660.7344,442.71777,106.0,699.5,1623.0,441.0,60.244625,325512.0,,,
19404,1661.6777,442.86072,106.0,699.5,1623.0,441.0,60.121586,325529.0,,,
19405,1662.6211,443.00366,106.0,699.5,1622.0,442.0,59.907475,325547.0,,,
19406,1663.5645,443.1466,106.0,699.5,1622.0,443.0,59.629715,325565.0,,,
19407,1664.5078,443.28955,106.0,699.5,1622.0,443.0,60.111725,325580.0,,,
19408,1665.4512,443.4325,106.0,699.5,1622.0,444.0,60.087776,325597.0,,,
19409,1666.3945,443.57544,106.0,699.5,1622.0,445.0,60.119316,325613.0,,,
19410,1667.3379,443.71838,106.0,699.5,1622.0,445.0,60.153923,325629.0,,,
19411,1668.2812,443.86133,106.0,699.5,1622.0,446.0,60.054977,325647.0,,,
19412,1669.2246,444.00427,106.0,699.5,1621.0,447.0,59.962162,325664.0,,,
19413,1670.168,444.14722,106.0,699.5,1621.0,447.0,59.0166,325686.0,,,
19414,1671.1113,444.29016,106.0,699.5,1621.0,448.0,60.215134,325697.0,,,
19415,1672.0547,444.4331,106.0,699.5,1621.0,449.0,59.94273,325714.0,,,
19416,1672.998,444.57605,106.0,699.5,1621.0,449.0,60.09579,325730.0,,,
19417,1673.9414,444.719,106.0,699.5,1621.0,450.0,60.043163,325747.0,,,
19418,1674.8848,444.86194,106.0,699.5,1621.0,451.0,60.03768,325763.0,,,
19419,1675.8281,445.00488,106.0,699.5,1621.0,451.0,59.945763,325780.0,,,
19420,1676.7715,445.14783,106.0,699.5,1620.0,452.0,60.22359,325797.0,,,
19421,1677.7148,445.29077,106.0,699.5,1620.0,453.0,60.227325,325812.0,,,
19422,1678.6582,445.43372,106.0,699.5,1620.0,453.0,59.970207,325830.0,,,
19423,1679.6016,445.57666,106.0,699.5,1620.0,454.0,60.164692,325847.0,,,
19424,1680.5449,445.7196,106.0,699.5,1620.0,455.0,60.019806,325863.0,,,
19425,1681.4883,445.86255,106.0,699.5,1620.0,455.0,60.1152,325879.0,,,
19426,1682.4316,446.0055,106.0,699.5,1620.0,456.0,60.08434,325897.0,,,
19427,1683.375,446.14844,106.0,699.5,1619.0,457.0,60.126022,325913.0,,,
19428,1684.3184,446.29138,106.0,699.5,1619.0,457.0,59.895386,325931.0,,,
19429,1685.2617,446.43433,106.0,699.5,1619.0,458.0,60.120857,325947.0,,,
19430,1686.2051,446.57727,106.0,699.5,1619.0,459.0,60.16813,325962.0,,,
19431,1687.1484,446.7202,106.0,699.5,1619.0,459.0,60.080936,325979.0,,,
19432,1688.0918,446.86316,106.0,699.5,1619.0,460.0,60.028374,325997.0,,,
19433,1689.0352,447.0061,106.0,699.5,1618.0,461.0,60.043007,326013.0,,,
19434,1689.9785,447.14905,106.0,699.5,1618.0,461.0,59.9854,326030.0,,,
19435,1690.9219,447.292,106.0,699.5,1618.0,462.0,59.972076,326047.0,,,
19436,1691.8652,447.43494,106.0,699.5,1618.0,463.0,60.09655,326063.0,,,
19437,1692.8086,447.57788,106.0,699.5,1618.0,463.0,60.210564,326079.0,,,
19438,1693.752,447.72083,106.0,699.5,1618.0,464.0,60.17279,326095.0,,,
19439,1694.6953,447.86377,106.0,699.5,1617.0,465.0,59.972923,326113.0,,,
19440,1695.6387,448.0067,106.0,699.5,1617.0,465.0,59.89101,326130.0,,,
19441,1696.582,448.14966,106.0,699.5,1617.0,466.0,60.08241,326146.0,,,
19442,1697.5254,448.2926,106.0,699.5,1617.0,467.0,59.975155,326163.0,,,
19443,1698.4688,448.43555,106.0,699.5,1617.0,467.0,60.094395,326179.0,,,
19444,1699.4121,448.5785,106.0,699.5,1616.0,468.0,60.01667,326197.0,,,
19445,1700.3555,448.72144,106.0,699.5,1616.0,469.0,60.089363,326213.0,,,
19446,1701.2988,448.86438,106.0,699.5,1616.0,469.0,60.084126,326230.0,,,
19447,1702.2422,449.00732,106.0,699.5,1616.0,470.0,59.995274,326247.0,,,
19448,1703.1855,449.15027,106.0,699.5,1616.0,471.0,59.94192,326263.0,,,
19449,1704.1289,449.2932,106.0,699.5,1616.0,471.0,60.066772,326279.0,,,
